haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
2000099000000,63000200000693,2000099000104,2000099000000,63,0.0,2000099000001,-1,-1,2000099000000,2000099000145,1872,205.69696,107.84029,147.08623,9435,42.784073,50.862103,15.676374,123529,4,5,1,52.71858,-1.8054466,218.77417,104.51424,185.17545,-0.8349289,-3.9227421,2.4419162,5394333,2,693,0.11324401,733
2000104000000,63000200000706,2000104000134,2000104000000,63,0.0,2000104000001,-1,-1,2000104000000,2000104000135,2066,195.88547,144.07393,173.33626,10407,54.041252,35.209084,16.53426,118985,6,3,1,33.082485,198.60518,-77.440575,111.451485,199.39178,-1.1577725,-0.66427106,-0.40352884,6242287,2,706,0.10354162,674
2000105000000,63000200000709,2000105000234,2000105000000,63,0.0,2000105000001,-1,-1,2000105000000,-1,2182,208.45105,167.74199,190.5494,10044,45.283085,39.104893,18.835518,116332,5,4,2,38.034584,-120.849976,109.171196,125.185036,220.83875,1.1125201,1.7124796,-0.4408413,6032341,2,709,0.083224736,242
2000106000000,63000200000710,2000106000105,2000106000000,63,0.0,2000106000001,-1,-1,2000106000000,2000106000106,2052,198.98383,154.05756,179.44693,9670,32.090263,51.810417,28.36001,125318,3,5,3,36.543736,486.80978,395.24814,121.595055,229.31055,-1.1040262,0.37788472,-1.3556398,4300817,2,710,0.082062125,220
2000107000000,63000200000712,2000107000184,2000107000000,63,0.0,2000107000001,-1,-1,2000107000000,2000107000185,2105,200.70514,146.91411,178.58627,10392,54.02822,35.71643,22.261992,119273,6,4,2,-21.855865,20.317091,-235.91446,114.14821,208.62218,1.7137827,-0.42249462,-0.70074785,6209878,2,712,0.09666419,107
2000108000000,63000200000714,2000108000192,2000108000000,63,0.0,2000108000001,-1,-1,2000108000000,-1,2131,203.45924,154.48788,180.82397,10161,43.791557,32.05217,30.205702,117600,4,3,3,-25.077322,-51.836708,-156.68564,117.56399,215.60127,-0.80018735,-2.1760473,2.728604,13577728,2,714,0.08830061,851
2000110000000,63000200000717,2000110000131,2000110000000,63,0.0,2000110000001,-1,-1,2000110000000,2000110000177,1843,194.16415,131.25015,165.76248,11803,60.8035,43.483845,5.1217294,104396,6,4,0,-33.711426,81.35062,316.5468,112.25782,198.29088,-0.8546743,-2.5687819,-1.1968966,2760940,2,717,0.09063391,136
2000111000000,63000200000722,2000111000180,2000111000000,63,0.0,2000111000001,-1,-1,2000111000000,2000111000181,2024,195.19695,143.3854,171.09856,10042,44.038433,41.334763,19.15887,116341,4,4,2,69.46574,-114.99194,145.40697,118.96771,217.3122,-1.0256755,2.2472546,0.24786296,5115967,2,722,0.08605886,661
2000113000000,63000200000728,2000113000145,2000113000000,63,0.0,2000113000001,-1,-1,2000113000000,-1,2029,190.20514,149.58214,173.07806,10030,45.416054,46.56091,21.3287,116702,5,5,2,35.699974,63.781807,57.17996,118.846725,222.03323,-0.9660333,1.7537538,0.40188044,6025225,2,728,0.08479107,871
5000105000000,63000500000488,5000105000166,5000105000000,63,0.0,5000105000001,-1,-1,5000105000000,5000105000167,1825,206.38548,80.2132,169.29117,22716,44.14704,38.087208,46.244926,232439,4,4,5,25.550571,-29.438663,-66.41983,94.266594,150.33684,1.9555527,0.49812326,0.9931641,13643791,5,488,0.16623232,142
5000107000000,63000500000494,5000107000095,5000107000000,63,0.0,5000107000001,-1,-1,5000107000000,5000107000169,2059,199.93056,145.1928,174.62724,21399,56.10213,59.96367,52.853462,260003,6,6,5,72.48733,-41.413383,-118.7125,117.85325,226.05472,0.52624655,-1.0960972,0.99754447,12671682,5,494,0.089102656,704
5000108000000,63000500000498,5000108000209,5000108000000,63,0.0,5000108000001,-1,-1,5000108000000,5000108000248,2052,200.01662,118.254234,173.2502,20772,57.155647,45.960873,51.69554,251802,6,5,5,126.52189,221.1887,5.8246813,111.29283,187.21375,2.990082,-0.38111207,0.93992877,12471227,5,498,0.12833625,579
5000110000000,63000500000502,5000110000194,5000110000000,63,0.0,5000110000001,-1,-1,5000110000000,5000110000195,2091,201.3076,161.02887,182.37315,21666,50.23935,56.59328,42.495277,244783,5,6,4,62.525986,256.6799,-170.30196,122.97968,220.80533,-1.2410507,-0.58037186,-0.895672,12795680,5,502,0.08520732,203
